Sample,Isotope,Evaluation,g / gUI
GU1,u234,ENDF VII.0,1.429E-04
GU1,u235,ENDF VII.0,2.366E-03
GU1,u236,ENDF VII.0,4.904E-03
GU1,u238,ENDF VII.0,9.180E-01
GU1,pu238,ENDF VII.0,4.103E-04
GU1,pu239,ENDF VII.0,5.151E-03
GU1,pu240,ENDF VII.0,3.267E-03
GU1,pu241,ENDF VII.0,1.460E-03
GU1,pu242,ENDF VII.0,1.413E-03
GU1,np237,ENDF VII.0,0.000E+00
GU1,am241,ENDF VII.0,2.725E-04
GU1,am242m,ENDF VII.0,7.089E-07
GU1,am243,ENDF VII.0,4.475E-04
GU1,cm242,ENDF VII.0,2.952E-07
GU1,cm243,ENDF VII.0,9.313E-07
GU1,cm244,ENDF VII.0,2.260E-04
GU1,cm245,ENDF VII.0,1.942E-05
GU1,cm246,ENDF VII.0,4.705E-06
GU1,cs133,ENDF VII.0,1.795E-03
GU1,cs134,ENDF VII.0,1.105E-04
GU1,cs135,ENDF VII.0,5.099E-04
GU1,cs137,ENDF VII.0,2.009E-03
GU1,ce144,ENDF VII.0,3.393E-05
GU1,nd142,ENDF VII.0,6.663E-05
GU1,nd143,ENDF VII.0,9.903E-04
GU1,nd144,ENDF VII.0,2.587E-03
GU1,nd145,ENDF VII.0,1.034E-03
GU1,nd146,ENDF VII.0,1.348E-03
GU1,nd148,ENDF VII.0,6.663E-04
GU1,nd150,ENDF VII.0,3.343E-04
GU1,pm147,ENDF VII.0,2.010E-04
GU1,sm147,ENDF VII.0,2.241E-04
GU1,sm148,ENDF VII.0,3.091E-04
GU1,sm149,ENDF VII.0,3.009E-06
GU1,sm150,ENDF VII.0,5.208E-04
GU1,sm151,ENDF VII.0,1.279E-05
GU1,sm152,ENDF VII.0,1.579E-04
GU1,sm154,ENDF VII.0,7.970E-05
GU1,eu151,ENDF VII.0,2.977E-07
GU1,eu153,ENDF VII.0,2.103E-04
GU1,eu154,ENDF VII.0,3.633E-05
GU1,eu155,ENDF VII.0,1.076E-05
GU1,gd155,ENDF VII.0,5.730E-06
GU1,sr90,ENDF VII.0,7.704E-04
GU1,mo95,ENDF VII.0,1.220E-03
GU1,tc99,ENDF VII.0,1.310E-03
GU1,ru101,ENDF VII.0,1.371E-03
GU1,ru106,ENDF VII.0,2.882E-04
GU1,rh103,ENDF VII.0,6.689E-04
GU1,ag109,ENDF VII.0,1.485E-04
GU1,sb125,ENDF VII.0,1.496E-05
GU1,u234,ENDF VII.1,1.444E-04
GU1,u235,ENDF VII.1,2.328E-03
GU1,u236,ENDF VII.1,4.897E-03
GU1,u238,ENDF VII.1,9.185E-01
GU1,pu238,ENDF VII.1,4.800E-04
GU1,pu239,ENDF VII.1,5.039E-03
GU1,pu240,ENDF VII.1,3.201E-03
GU1,pu241,ENDF VII.1,1.442E-03
GU1,pu242,ENDF VII.1,1.466E-03
GU1,np237,ENDF VII.1,0.000E+00
GU1,am241,ENDF VII.1,2.618E-04
GU1,am242m,ENDF VII.1,7.145E-07
GU1,am243,ENDF VII.1,3.858E-04
GU1,cm242,ENDF VII.1,2.994E-07
GU1,cm243,ENDF VII.1,1.165E-06
GU1,cm244,ENDF VII.1,2.312E-04
GU1,cm245,ENDF VII.1,1.887E-05
GU1,cm246,ENDF VII.1,4.604E-06
GU1,cs133,ENDF VII.1,1.806E-03
GU1,cs134,ENDF VII.1,1.083E-04
GU1,cs135,ENDF VII.1,5.077E-04
GU1,cs137,ENDF VII.1,2.010E-03
GU1,ce144,ENDF VII.1,3.394E-05
GU1,nd142,ENDF VII.1,6.730E-05
GU1,nd143,ENDF VII.1,9.851E-04
GU1,nd144,ENDF VII.1,2.594E-03
GU1,nd145,ENDF VII.1,1.058E-03
GU1,nd146,ENDF VII.1,1.323E-03
GU1,nd148,ENDF VII.1,6.663E-04
GU1,nd150,ENDF VII.1,3.344E-04
GU1,pm147,ENDF VII.1,1.991E-04
GU1,sm147,ENDF VII.1,2.222E-04
GU1,sm148,ENDF VII.1,3.103E-04
GU1,sm149,ENDF VII.1,2.989E-06
GU1,sm150,ENDF VII.1,5.218E-04
GU1,sm151,ENDF VII.1,1.272E-05
GU1,sm152,ENDF VII.1,1.575E-04
GU1,sm154,ENDF VII.1,7.981E-05
GU1,eu151,ENDF VII.1,2.961E-07
GU1,eu153,ENDF VII.1,2.009E-04
GU1,eu154,ENDF VII.1,3.668E-05
GU1,eu155,ENDF VII.1,1.090E-05
GU1,gd155,ENDF VII.1,5.802E-06
GU1,sr90,ENDF VII.1,7.709E-04
GU1,mo95,ENDF VII.1,1.226E-03
GU1,tc99,ENDF VII.1,1.335E-03
GU1,ru101,ENDF VII.1,1.370E-03
GU1,ru106,ENDF VII.1,2.803E-04
GU1,rh103,ENDF VII.1,6.832E-04
GU1,ag109,ENDF VII.1,1.482E-04
GU1,sb125,ENDF VII.1,1.494E-05
GU1,u234,ENDF VII.0 + mod-Wright,1.429E-04
GU1,u235,ENDF VII.0 + mod-Wright,2.368E-03
GU1,u236,ENDF VII.0 + mod-Wright,4.904E-03
GU1,u238,ENDF VII.0 + mod-Wright,9.180E-01
GU1,pu238,ENDF VII.0 + mod-Wright,4.104E-04
GU1,pu239,ENDF VII.0 + mod-Wright,5.151E-03
GU1,pu240,ENDF VII.0 + mod-Wright,3.267E-03
GU1,pu241,ENDF VII.0 + mod-Wright,1.461E-03
GU1,pu242,ENDF VII.0 + mod-Wright,1.413E-03
GU1,np237,ENDF VII.0 + mod-Wright,7.027E-04
GU1,am241,ENDF VII.0 + mod-Wright,2.722E-04
GU1,am242m,ENDF VII.0 + mod-Wright,7.191E-07
GU1,am243,ENDF VII.0 + mod-Wright,4.291E-04
GU1,cm242,ENDF VII.0 + mod-Wright,2.953E-07
GU1,cm243,ENDF VII.0 + mod-Wright,9.318E-07
GU1,cm244,ENDF VII.0 + mod-Wright,2.261E-04
GU1,cm245,ENDF VII.0 + mod-Wright,1.944E-05
GU1,cm246,ENDF VII.0 + mod-Wright,4.705E-06
GU1,cs133,ENDF VII.0 + mod-Wright,1.795E-03
GU1,cs134,ENDF VII.0 + mod-Wright,1.105E-04
GU1,cs135,ENDF VII.0 + mod-Wright,5.100E-04
GU1,cs137,ENDF VII.0 + mod-Wright,2.009E-03
GU1,ce144,ENDF VII.0 + mod-Wright,3.393E-05
GU1,nd142,ENDF VII.0 + mod-Wright,6.663E-05
GU1,nd143,ENDF VII.0 + mod-Wright,9.908E-04
GU1,nd144,ENDF VII.0 + mod-Wright,2.587E-03
GU1,nd145,ENDF VII.0 + mod-Wright,1.034E-03
GU1,nd146,ENDF VII.0 + mod-Wright,1.348E-03
GU1,nd148,ENDF VII.0 + mod-Wright,6.663E-04
GU1,nd150,ENDF VII.0 + mod-Wright,3.343E-04
GU1,pm147,ENDF VII.0 + mod-Wright,2.008E-04
GU1,sm147,ENDF VII.0 + mod-Wright,2.241E-04
GU1,sm148,ENDF VII.0 + mod-Wright,3.091E-04
GU1,sm149,ENDF VII.0 + mod-Wright,3.010E-06
