Sample,Isotope,Evaluation,g / g Uinit
87-72,U-234,ENDF VII.0,1.57E-04
87-72,U-235,ENDF VII.0,5.90E-03
87-72,U-236,ENDF VII.0,4.09E-03
87-72,U-238,ENDF VII.0,9.42E-01
87-72,Pu-238,ENDF VII.0,1.93E-04
87-72,Pu-239,ENDF VII.0,5.10E-03
87-72,Pu-240,ENDF VII.0,2.58E-03
87-72,Pu-241,ENDF VII.0,9.96E-04
87-72,Pu-242,ENDF VII.0,6.15E-04
87-72,Np-237,ENDF VII.0,4.50E-04
87-72,Am-241,ENDF VII.0,3.55E-04
87-72,Cs-133,ENDF VII.0,1.24E-03
87-72,Cs-134,ENDF VII.0,2.05E-05
87-72,Cs-135,ENDF VII.0,4.69E-04
87-72,Cs-137,ENDF VII.0,1.16E-03
87-72,Nd-143,ENDF VII.0,8.14E-04
87-72,Nd-144,ENDF VII.0,1.49E-03
87-72,Nd-145,ENDF VII.0,7.20E-04
87-72,Nd-146,ENDF VII.0,7.76E-04
87-72,Nd-148,ENDF VII.0,4.07E-04
87-72,Nd-150,ENDF VII.0,1.99E-04
87-72,Sm-147,ENDF VII.0,2.83E-04
87-72,Sm-148,ENDF VII.0,1.59E-04
87-72,Sm-149,ENDF VII.0,2.25E-06
87-72,Sm-150,ENDF VII.0,3.04E-04
87-72,Sm-151,ENDF VII.0,9.11E-06
87-72,Sm-152,ENDF VII.0,1.17E-04
87-72,Sm-154,ENDF VII.0,4.14E-05
87-72,Eu-151,ENDF VII.0,9.69E-07
87-72,Eu-152,ENDF VII.0,6.41E-09
87-72,Eu-153,ENDF VII.0,1.31E-04
87-72,Eu-154,ENDF VII.0,9.11E-06
87-72,Eu-155,ENDF VII.0,1.38E-06
87-72,Gd-154,ENDF VII.0,2.08E-05
87-72,Gd-155,ENDF VII.0,7.82E-06
87-72,Gd-156,ENDF VII.0,1.02E-04
87-72,Gd-158,ENDF VII.0,1.96E-05
87-72,Gd-160,ENDF VII.0,1.26E-06
87-72,Tc-99,ENDF VII.0,8.76E-04
87-72,Sr-90,ENDF VII.0,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Wright,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Wright,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Wright,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Wright,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Wright,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Wright,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Wright,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Wright,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Wright,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Wright,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Wright,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Wright,1.24E-03
87-72,Cs-134,ENDF VII.0 + mod-Wright,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Wright,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Wright,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Wright,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Wright,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Wright,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Wright,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Wright,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Wright,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Wright,2.83E-04
87-72,Sm-148,ENDF VII.0 + mod-Wright,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Wright,2.25E-06
87-72,Sm-150,ENDF VII.0 + mod-Wright,3.04E-04
87-72,Sm-151,ENDF VII.0 + mod-Wright,9.11E-06
87-72,Sm-152,ENDF VII.0 + mod-Wright,1.17E-04
87-72,Sm-154,ENDF VII.0 + mod-Wright,4.14E-05
87-72,Eu-151,ENDF VII.0 + mod-Wright,9.70E-07
87-72,Eu-152,ENDF VII.0 + mod-Wright,6.41E-09
87-72,Eu-153,ENDF VII.0 + mod-Wright,1.31E-04
87-72,Eu-154,ENDF VII.0 + mod-Wright,7.92E-06
87-72,Eu-155,ENDF VII.0 + mod-Wright,1.43E-06
87-72,Gd-154,ENDF VII.0 + mod-Wright,1.81E-05
87-72,Gd-155,ENDF VII.0 + mod-Wright,8.06E-06
87-72,Gd-156,ENDF VII.0 + mod-Wright,1.05E-04
87-72,Gd-158,ENDF VII.0 + mod-Wright,1.97E-05
87-72,Gd-160,ENDF VII.0 + mod-Wright,1.26E-06
87-72,Tc-99,ENDF VII.0 + mod-Wright,8.76E-04
87-72,Sr-90,ENDF VII.0 + mod-Wright,4.91E-04
87-72,U-234,ENDF VII.0 + mod-Mughabghab v1,1.57E-04
87-72,U-235,ENDF VII.0 + mod-Mughabghab v1,5.90E-03
87-72,U-236,ENDF VII.0 + mod-Mughabghab v1,4.09E-03
87-72,U-238,ENDF VII.0 + mod-Mughabghab v1,9.42E-01
87-72,Pu-238,ENDF VII.0 + mod-Mughabghab v1,1.93E-04
87-72,Pu-239,ENDF VII.0 + mod-Mughabghab v1,5.10E-03
87-72,Pu-240,ENDF VII.0 + mod-Mughabghab v1,2.58E-03
87-72,Pu-241,ENDF VII.0 + mod-Mughabghab v1,9.96E-04
87-72,Pu-242,ENDF VII.0 + mod-Mughabghab v1,6.15E-04
87-72,Np-237,ENDF VII.0 + mod-Mughabghab v1,4.50E-04
87-72,Am-241,ENDF VII.0 + mod-Mughabghab v1,3.55E-04
87-72,Cs-133,ENDF VII.0 + mod-Mughabghab v1,1.24E-03
87-72,Cs-134,ENDF VII.0 + mod-Mughabghab v1,2.05E-05
87-72,Cs-135,ENDF VII.0 + mod-Mughabghab v1,4.69E-04
87-72,Cs-137,ENDF VII.0 + mod-Mughabghab v1,1.16E-03
87-72,Nd-143,ENDF VII.0 + mod-Mughabghab v1,8.14E-04
87-72,Nd-144,ENDF VII.0 + mod-Mughabghab v1,1.49E-03
87-72,Nd-145,ENDF VII.0 + mod-Mughabghab v1,7.20E-04
87-72,Nd-146,ENDF VII.0 + mod-Mughabghab v1,7.76E-04
87-72,Nd-148,ENDF VII.0 + mod-Mughabghab v1,4.07E-04
87-72,Nd-150,ENDF VII.0 + mod-Mughabghab v1,1.99E-04
87-72,Sm-147,ENDF VII.0 + mod-Mughabghab v1,2.83E-04
87-72,Sm-148,ENDF VII.0 + mod-Mughabghab v1,1.59E-04
87-72,Sm-149,ENDF VII.0 + mod-Mughabghab v1,2.25E-06
