Sample,Isotope,Evaluation,g / g Uinit
87-63,U-234,ENDF VII.0,1.41E-04
87-63,U-235,ENDF VII.0,4.15E-03
87-63,U-236,ENDF VII.0,4.27E-03
87-63,U-238,ENDF VII.0,9.35E-01
87-63,Pu-238,ENDF VII.0,2.76E-04
87-63,Pu-239,ENDF VII.0,5.24E-03
87-63,Pu-240,ENDF VII.0,2.96E-03
87-63,Pu-241,ENDF VII.0,1.16E-03
87-63,Pu-242,ENDF VII.0,8.83E-04
87-63,Np-237,ENDF VII.0,5.46E-04
87-63,Am-241,ENDF VII.0,4.03E-04
87-63,Cs-133,ENDF VII.0,1.42E-03
87-63,Cs-134,ENDF VII.0,2.90E-05
87-63,Cs-135,ENDF VII.0,5.04E-04
87-63,Cs-137,ENDF VII.0,1.38E-03
87-63,Nd-143,ENDF VII.0,8.79E-04
87-63,Nd-144,ENDF VII.0,1.81E-03
87-63,Nd-145,ENDF VII.0,8.18E-04
87-63,Nd-146,ENDF VII.0,9.46E-04
87-63,Nd-148,ENDF VII.0,4.86E-04
87-63,Nd-150,ENDF VII.0,2.42E-04
87-63,Sm-147,ENDF VII.0,2.96E-04
87-63,Sm-148,ENDF VII.0,2.10E-04
87-63,Sm-149,ENDF VII.0,2.47E-06
87-63,Sm-150,ENDF VII.0,3.70E-04
87-63,Sm-151,ENDF VII.0,1.02E-05
87-63,Sm-152,ENDF VII.0,1.29E-04
87-63,Sm-154,ENDF VII.0,5.33E-05
87-63,Eu-151,ENDF VII.0,1.06E-06
87-63,Eu-152,ENDF VII.0,5.82E-09
87-63,Eu-153,ENDF VII.0,1.60E-04
87-63,Eu-154,ENDF VII.0,1.20E-05
87-63,Eu-155,ENDF VII.0,1.82E-06
87-63,Gd-154,ENDF VII.0,2.69E-05
87-63,Gd-155,ENDF VII.0,9.97E-06
87-63,Gd-156,ENDF VII.0,1.58E-04
87-63,Gd-158,ENDF VII.0,2.87E-05
87-63,Gd-160,ENDF VII.0,1.71E-06
87-63,Tc-99,ENDF VII.0,1.01E-03
87-63,Sr-90,ENDF VII.0,5.55E-04
87-63,U-234,ENDF VII.1,1.43E-04
87-63,U-235,ENDF VII.1,4.10E-03
87-63,U-236,ENDF VII.1,4.27E-03
87-63,U-238,ENDF VII.1,9.35E-01
87-63,Pu-238,ENDF VII.1,3.13E-04
87-63,Pu-239,ENDF VII.1,5.13E-03
87-63,Pu-240,ENDF VII.1,2.90E-03
87-63,Pu-241,ENDF VII.1,1.15E-03
87-63,Pu-242,ENDF VII.1,9.14E-04
87-63,Np-237,ENDF VII.1,5.39E-04
87-63,Am-241,ENDF VII.1,3.91E-04
87-63,Cs-133,ENDF VII.1,1.43E-03
87-63,Cs-134,ENDF VII.1,2.84E-05
87-63,Cs-135,ENDF VII.1,5.02E-04
87-63,Cs-137,ENDF VII.1,1.38E-03
87-63,Nd-143,ENDF VII.1,8.76E-04
87-63,Nd-144,ENDF VII.1,1.82E-03
87-63,Nd-145,ENDF VII.1,8.33E-04
87-63,Nd-146,ENDF VII.1,9.32E-04
87-63,Nd-148,ENDF VII.1,4.86E-04
87-63,Nd-150,ENDF VII.1,2.42E-04
87-63,Sm-147,ENDF VII.1,2.94E-04
87-63,Sm-148,ENDF VII.1,2.11E-04
87-63,Sm-149,ENDF VII.1,2.45E-06
87-63,Sm-150,ENDF VII.1,3.71E-04
