Assembly,Sample,Isotope,Inventory,Uncertainty,Units
TMI-1 NJ05YU,AG616-A1,233U,7.100E-04,1.00E+00,mg / gIU
TMI-1 NJ05YU,AG616-A1,234U,2.285E-01,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,235U,9.140E+00,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,236U,5.420E+00,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,238U,9.330E+02,1.10E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,238Pu,2.715E-01,1.80E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,239Pu,5.916E+00,1.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,240Pu,2.762E+00,1.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,241Pu,7.020E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,242Pu,7.650E-01,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,237Np,7.810E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,241Am,9.840E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,243Am,1.950E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,244Cm,4.160E-02,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,133Cs,1.434E+00,1.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,134Cs,4.980E-04,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,135Cs,5.729E-01,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,137Cs,1.037E+00,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,140Ce,1.615E+00,3.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,142Ce,1.448E+00,3.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,142Nd,3.107E-02,2.10E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,143Nd,1.083E+00,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,144Nd,1.884E+00,1.70E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,145Nd,9.190E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,146Nd,9.840E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,148Nd,5.062E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,150Nd,2.403E-01,1.80E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,147Sm,3.263E-01,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,148Sm,2.204E-01,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,149Sm,4.190E-03,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,150Sm,3.870E-01,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,151Sm,1.579E-02,2.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,152Sm,1.297E-01,2.20E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,154Sm,5.020E-02,2.00E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,151Eu,1.995E-03,2.30E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,152Eu,1.730E-04,5.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,153Eu,1.521E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,154Eu,7.770E-03,2.00E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,155Eu,8.290E-04,2.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,152Gd,1.780E-04,7.20E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,154Gd,2.967E-02,2.00E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,155Gd,1.063E-02,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,156Gd,1.375E-01,1.70E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,157Gd,2.100E-04,8.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,158Gd,2.270E-02,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,160Gd,1.581E-03,2.20E-02,mg / gIU
TMI-1 NJ05YU,AG616-A1,109Ag,1.120E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,95Mo,1.250E+00,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,103Rh,7.880E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-A1,99Tc,1.130E+00,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-B1,233U,4.700E-04,1.00E+00,mg / gIU
TMI-1 NJ05YU,AG616-B1,234U,2.191E-01,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,235U,6.310E+00,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,236U,5.690E+00,2.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,238U,9.280E+02,1.10E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,238Pu,3.722E-01,1.80E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,239Pu,5.851E+00,1.40E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,240Pu,3.124E+00,1.50E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,241Pu,7.780E-01,1.90E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,242Pu,1.097E+00,1.60E-02,mg / gIU
TMI-1 NJ05YU,AG616-B1,237Np,9.930E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-B1,241Am,1.070E+00,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-B1,243Am,3.420E-01,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-B1,244Cm,9.280E-02,1.00E-01,mg / gIU
TMI-1 NJ05YU,AG616-B1,133Cs,1.660E+00,1.50E-02,mg / gIU
