Sample,Isotope,Evaluation,g / gUI
GKN-II,U-234,ENDF VII.0,1.945E-01
GKN-II,U-235,ENDF VII.0,6.005E+00
GKN-II,U-236,ENDF VII.0,5.807E+00
GKN-II,U-238,ENDF VII.0,1.000E+03
GKN-II,Np-237,ENDF VII.0,8.162E-01
GKN-II,Pu-238,ENDF VII.0,4.249E-01
GKN-II,Pu-239,ENDF VII.0,7.040E+00
GKN-II,Pu-240,ENDF VII.0,3.682E+00
GKN-II,Pu-241,ENDF VII.0,1.482E+00
GKN-II,Pu-242,ENDF VII.0,1.186E+00
GKN-II,Am-241,ENDF VII.0,7.710E-01
GKN-II,Am-242m,ENDF VII.0,1.567E-03
GKN-II,Am-243,ENDF VII.0,3.465E-01
GKN-II,Cm-242,ENDF VII.0,4.424E-06
GKN-II,Cm-243,ENDF VII.0,7.323E-04
GKN-II,Cm-244,ENDF VII.0,1.345E-01
GKN-II,Cm-245,ENDF VII.0,1.592E-02
GKN-II,Mo-95,ENDF VII.0,1.241E+00
GKN-II,Tc-99,ENDF VII.0,1.334E+00
GKN-II,Ru-101,ENDF VII.0,1.358E+00
GKN-II,Rh-103,ENDF VII.0,7.752E-01
GKN-II,Pd-105,ENDF VII.0,7.674E-01
GKN-II,Pd-108,ENDF VII.0,3.153E-01
GKN-II,Ag-109,ENDF VII.0,1.418E-01
GKN-II,Cs-133,ENDF VII.0,1.840E+00
GKN-II,Cs-135,ENDF VII.0,6.532E-01
GKN-II,Cs-137,ENDF VII.0,1.792E+00
GKN-II,Ce-144,ENDF VII.0,5.085E-04
GKN-II,Nd-142,ENDF VII.0,5.059E-02
GKN-II,Nd-143,ENDF VII.0,1.216E+00
GKN-II,Nd-144,ENDF VII.0,2.399E+00
GKN-II,Nd-145,ENDF VII.0,1.074E+00
GKN-II,Nd-146,ENDF VII.0,1.298E+00
GKN-II,Nd-148,ENDF VII.0,6.571E-01
GKN-II,Nd-150,ENDF VII.0,3.266E-01
GKN-II,Sm-147,ENDF VII.0,3.276E-01
GKN-II,Sm-148,ENDF VII.0,2.961E-01
GKN-II,Sm-149,ENDF VII.0,2.818E-03
GKN-II,Sm-150,ENDF VII.0,5.260E-01
GKN-II,Sm-151,ENDF VII.0,1.604E-02
GKN-II,Sm-152,ENDF VII.0,1.561E-01
GKN-II,Sm-154,ENDF VII.0,7.459E-02
GKN-II,Eu-153,ENDF VII.0,2.102E-01
GKN-II,Eu-154,ENDF VII.0,2.830E-02
GKN-II,Eu-155,ENDF VII.0,5.494E-03
GKN-II,Gd-155,ENDF VII.0,1.063E-02
GKN-II,U-234,ENDF VII.1,1.976E-01
GKN-II,U-235,ENDF VII.1,5.941E+00
GKN-II,U-236,ENDF VII.1,5.802E+00
GKN-II,U-238,ENDF VII.1,1.000E+03
GKN-II,Np-237,ENDF VII.1,8.062E-01
GKN-II,Pu-238,ENDF VII.1,4.774E-01
GKN-II,Pu-239,ENDF VII.1,6.878E+00
GKN-II,Pu-240,ENDF VII.1,3.610E+00
GKN-II,Pu-241,ENDF VII.1,1.466E+00
GKN-II,Pu-242,ENDF VII.1,1.233E+00
GKN-II,Am-241,ENDF VII.1,7.535E-01
GKN-II,Am-242m,ENDF VII.1,1.650E-03
GKN-II,Am-243,ENDF VII.1,3.104E-01
GKN-II,Cm-242,ENDF VII.1,4.660E-06
GKN-II,Cm-243,ENDF VII.1,9.395E-04
GKN-II,Cm-244,ENDF VII.1,1.372E-01
GKN-II,Cm-245,ENDF VII.1,1.541E-02
GKN-II,Mo-95,ENDF VII.1,1.247E+00
GKN-II,Tc-99,ENDF VII.1,1.355E+00
GKN-II,Ru-101,ENDF VII.1,1.357E+00
GKN-II,Rh-103,ENDF VII.1,7.889E-01
GKN-II,Pd-105,ENDF VII.1,7.652E-01
GKN-II,Pd-108,ENDF VII.1,3.145E-01
GKN-II,Ag-109,ENDF VII.1,1.416E-01
GKN-II,Cs-133,ENDF VII.1,1.850E+00
GKN-II,Cs-135,ENDF VII.1,6.504E-01
GKN-II,Cs-137,ENDF VII.1,1.792E+00
GKN-II,Ce-144,ENDF VII.1,5.086E-04
GKN-II,Nd-142,ENDF VII.1,5.102E-02
